"a1","a2","a3","a4","a5","ar1","ar2","ar3","ar4","ar5","ar6","b1","b2","b2a","b3","b4","b5","g1","g2","g3","g4","g5","g6","h1","h2","h3","i1","i2","i3","i4","i5","i6","i7","j1","j12","j22","j8","j9","k1","k2","k3","l1","l2","l3","l3a","l4","m5","m6","t10","t11","t5","t6","t7","t8","t9","u1","u2","u3","u4","u5","v1","v2","v3","v4","v5","v6","y1","y2","y3","y7"
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,40,40
41,41,NA,41,41,41,41,41,41,41,41,41,41,41,41,41,41,NA,NA,NA,NA,NA,NA,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,NA,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,42,42,42,42,42,42,42,42,42,42,NA,NA,NA,NA
43,43,43,43,43,43,43,43,43,43,43,NA,NA,NA,NA,NA,NA,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,NA,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
44,44,44,44,44,NA,NA,NA,NA,NA,NA,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,NA,44,44,44,44,44,44,44,44,44,44,NA,NA,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,NA,NA
45,45,45,45,45,45,45,45,45,45,45,NA,NA,NA,NA,NA,NA,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,NA,45,45,45,45,45,45,45,45,NA,NA,NA,NA,NA,NA,NA,45,45,45,45,45,45,45,45,45,45,45,45,45,NA,NA
NA,NA,NA,NA,NA,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,47,47,47,47,NA,NA,NA,47,47,47,NA,NA,NA,NA,NA,NA,47,47,47,47,47,47,NA,47,NA,47,47,47,47,47,47,47,47,NA,47,47,47,47,NA,47,47,47,47,47,47,47,47,NA,NA,NA,NA,NA,NA,NA,47,47,47,47,47,47,47,47,47,47,47,47,47,NA,NA
NA,NA,NA,NA,NA,48,48,48,NA,NA,NA,48,48,48,48,48,48,NA,NA,NA,NA,NA,NA,48,NA,48,NA,NA,NA,NA,NA,NA,NA,48,48,48,48,48,NA,NA,NA,48,48,48,48,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,48,48,48,48,48,48,48,48,48,NA,NA,NA,NA,NA
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,NA,49,49,49,49,49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,49,49,49,49,49,49,NA,49,49,NA,NA,NA,NA,NA
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,50,50,50,50,NA,50,50,NA,NA,NA,NA,NA
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,NA,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,NA,51,51,51,51,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,51,51,51,51,NA,NA,NA,NA,NA,NA,51,51,NA,NA
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,NA,52,52,52,52,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,52,52,52,52,52,52,NA,52,52,NA,NA,NA,NA,NA
NA,NA,53,NA,NA,53,53,53,53,53,53,NA,53,53,NA,NA,NA,53,NA,NA,NA,NA,53,NA,NA,NA,53,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,53,53,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,54,54,54,NA,NA,54,NA,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,54,NA,NA,NA,54,NA,54,NA,NA,NA,NA,NA,NA,54,NA,NA,54,NA,NA,54,NA,54,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,54,54,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,55,NA,NA,55,55,55,55,55,55,NA,55,55,NA,NA,NA,55,NA,NA,NA,NA,55,NA,NA,NA,55,NA,55,NA,NA,NA,NA,NA,NA,55,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,55,55,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,56,NA,56,56,NA,56,NA,NA,NA,NA,56,56,56,56,56,NA,NA,NA,56,NA,NA,NA,56,56,56,56,56,56,56,56,NA,56,56,56,56,56,56,56,NA,NA,NA,NA,56,56,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,56,56,NA,NA,NA,56,NA,56,NA,NA,56,56,NA,NA
57,57,NA,57,57,NA,57,NA,57,57,57,57,57,57,57,NA,57,NA,57,57,NA,NA,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,NA,NA,57,NA,57,57,57,NA,NA,NA,NA,NA,NA,57,57,NA,57,57,57,NA,NA,NA,57,NA,57,NA,NA,57,57,NA,NA
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,NA,NA,58,58,NA,58,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,58,58,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,59,59,59,59,59,59,59,59,NA,59,59,59,59,59,59,59,59,59,59,59,NA,59,59,59,59,59,NA,59,59,59,59,59,59,59,59,59,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,59,59,59,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,60,60,60,60,NA,NA,NA,60,60,NA,60,60,60,60,60,NA,60,60,60,60,NA,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,NA,60,60,NA,60,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,60,60,60,NA,60,NA,60,60,NA,NA,NA,NA,NA
61,61,NA,61,61,NA,NA,NA,NA,NA,61,61,61,61,61,61,61,NA,NA,NA,NA,NA,NA,NA,61,61,61,61,61,61,61,61,61,61,61,61,NA,61,61,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,61,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,62,62,62,62,62,62,62,62,62,62,62,62,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,62,62,62,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,64,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,65,65,65,NA,65,NA,65,65,65,65,65,65,NA,65,65,65,65,65,65,65,NA,65,65,65,NA,65,65,65,65,65,65,65,65,65,65,65,65,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,65,65,65,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,66,NA,66,NA,NA,NA,NA,NA,NA,NA,66,66,66,66,66,66,NA,NA,NA,NA,NA,NA,66,66,66,66,66,66,66,66,66,66,66,66,NA,66,NA,66,NA,66,NA,NA,66,66,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,66,66,66,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,67,67,67,67,67,67,67,67,67,67,67,NA,NA,NA,67,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,67,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,68,68,68,68,68,68,68,68,68,68,68,68,NA,68,68,68,68,68,68,68,68,68,68,68,NA,68,68,68,68,68,68,68,68,68,68,68,68,68,NA,NA,NA,68,68,68,68,68,NA,68,68,68,68,68,68,68,68,68,68,68,68,68,NA,NA,68,68,NA,68,68,NA,NA
69,NA,69,69,NA,NA,NA,NA,69,NA,NA,69,69,NA,69,69,69,69,69,NA,69,69,69,69,69,69,69,69,69,69,NA,69,69,69,69,69,69,69,69,NA,69,69,NA,NA,NA,NA,NA,NA,69,69,69,69,69,69,69,NA,69,NA,69,69,NA,NA,NA,NA,NA,NA,69,69,NA,NA
NA,NA,70,70,NA,NA,NA,70,70,NA,NA,70,70,70,70,70,70,70,70,NA,NA,NA,NA,70,70,70,70,70,70,70,70,70,70,NA,NA,70,70,70,70,NA,70,NA,NA,70,NA,70,NA,NA,70,70,70,70,70,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,NA,NA
71,71,71,71,71,NA,NA,71,71,NA,NA,71,71,71,71,NA,71,NA,71,NA,NA,NA,NA,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,NA,71,NA,NA,71,NA,71,NA,NA,71,NA,71,71,71,71,71,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,71,NA,NA
72,72,72,72,72,72,NA,72,NA,72,72,72,72,72,72,72,72,72,72,72,72,NA,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,72,72,72,72,72,72,72,72,72,72,72,72,NA,NA,NA,NA,NA,NA,72,72,NA,NA
73,NA,NA,NA,NA,73,NA,73,NA,NA,73,73,73,73,73,NA,NA,73,73,73,73,NA,73,73,73,73,73,73,73,73,73,73,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,73,73,73,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,73,NA,NA
74,74,74,74,74,74,NA,74,NA,74,NA,74,74,74,74,74,74,74,NA,74,NA,NA,NA,74,74,74,NA,74,74,NA,74,74,74,74,NA,74,74,NA,74,NA,74,NA,NA,NA,NA,NA,NA,NA,74,NA,74,74,74,74,NA,74,74,74,74,74,NA,NA,NA,NA,NA,NA,NA,74,NA,NA
NA,NA,75,75,75,75,NA,75,75,NA,75,75,75,75,75,75,NA,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,NA,75,NA,NA,NA,75,75,75,75,NA,NA,75,NA,75,75,75,75,75,75,NA,75,75,75,NA,NA,NA,NA,NA,NA,NA,75,NA,NA
76,76,76,NA,76,76,NA,76,76,76,76,76,76,NA,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,NA,76,NA,76,NA,76,76,76,76,NA,76,76,NA,76,76,76,76,76,76,76,76,NA,76,NA,NA,NA,76,NA,NA,NA,76,NA,NA
77,NA,77,77,77,NA,NA,77,NA,NA,NA,77,77,77,77,77,77,77,77,NA,77,77,77,77,77,77,77,77,77,77,77,NA,77,77,77,77,77,NA,NA,NA,77,NA,77,77,77,77,NA,NA,77,NA,77,77,77,77,77,77,77,77,NA,77,NA,NA,NA,NA,NA,NA,77,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,78,78,78,78,78,78,78,78,78,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,78,NA,NA,NA,78,78,78,NA,78,NA,NA,NA,NA,NA,NA,78,NA,NA,NA
NA,NA,NA,NA,NA,79,NA,NA,79,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,79,79,79,79,79,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,80,NA,NA,NA,NA,NA,NA,NA,80,80,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,80,NA,NA,80,80,NA,NA,NA,80,80,80,NA,80,NA,NA,NA,NA,NA,NA,80,NA,NA,NA
